CatalogueNumber,Institution,Long,Lat,Country,Region,Island,GeneralLocality,SpecificLocality,InitialSpeciesID,Sex,SVL,TL,ED,OD,HW,HD,HL,HdL,FbL,FtL,HbL,MidSR,VerSC,PoPV,UpPV,SL,IL,SlF3,SlT4,NS,FnsH,SnsH,FnsW,SnsW,CS
327284,KU,120.958889,13.4875,Philippines,Mindoro,Mindoro,Municipality of Puerto Galera,"Barangay San Teodoro, Tamaraw Falls",Bronchocela cristatella,m,86.52,310,2.74,damaged,damaged,damaged,26.75,16.61,42.89,30.95,71.09,,,,,damaged,damaged,28,33,10,0,0,0,0,damaged
336049,KU,120.8975,12.8191667,Philippines,Mindoro,Mindoro,Municipality of Sablayan,"Malisbong, Lake Libuao",Bronchocela cristatella,f,86.71,285,2.66,6.82,11.25,9.7,23.73,15.01,42.3,28.5,69.63,44,38,7,1,8,10,29,33,9,0.5,0.5,0.5,0.5,6
336055,KU,120.8975,12.8191667,Philippines,Mindoro,Mindoro,Municipality of Sablayan,"Malisbong, Lake Libuao",Bronchocela cristatella,m,86.86,315,2.6,7.1,11.91,11.41,24.27,16.51,42.83,31.24,73.04,45,40,7,1,8,10,28,35,10,2,2,0.5,0.5,6
327285,KU,120.958889,13.4875,Philippines,Mindoro,Mindoro,Municipality of Puerto Galera,"Barangay San Teodoro, Tamaraw Falls",Bronchocela cristatella,m,92.74,347,2.81,7.23,14.4,12.69,27.34,18.15,43.43,33.62,76.31,57,39,6,1,9,10,29,37,8,1.5,1.5,1,1,7
320286,KU,120.16393,13.79995,Philippines,Lubang,Lubang,Municipality of Lubang,"Barangay Vigo, Sitio Dangay",Bronchocela cristatella,f,99.86,339,3.16,8.36,13.66,12.28,27.62,21.67,54.05,37.82,87.77,45,38,4,0,10,11,31,35,12,3,3,1.5,1,7
320285,KU,120.16393,13.79995,Philippines,Lubang,Lubang,Municipality of Lubang,"Barangay Vigo, Sitio Dangay",Bronchocela cristatella,f,100.28,319,3.09,8.09,13.86,11.37,27.44,20.08,52.05,35.68,86.49,43,38,4,0,9,10,27,31,10,2,2,1,1,8
320287,KU,120.16393,13.79995,Philippines,Lubang,Lubang,Municipality of Lubang,"Barangay Vigo, Sitio Dangay",Bronchocela cristatella,f,102.25,342,3.23,8.58,14.11,11.67,27.95,20.6,51.67,36.04,83.31,46,38,4,0,8,12,29,31,10,3,3,1,1,8
320288,KU,120.16393,13.79995,Philippines,Lubang,Lubang,Municipality of Lubang,"Barangay Vigo, Sitio Dangay",Bronchocela cristatella,f,104.96,349,3.32,8.33,12.33,12.27,28.32,22.28,54.88,36.21,87.13,45,36,4,0,9,9,30,34,10,3,3,1.5,2,7
4862,UPLBMNH,122.544444,12.454722,Philippines,Romblon,Sibuyan, Municipality of Magdiwang,"Barangay Tampayan, Mt. Guiting-guiting National Park",Bronchocela marmorata,f,84.8,304,2.52,6.85,11.44,10.29,22.27,18.37,45.8,31.59,73.39,55,36,5,1,10,10,30,35,10,1.5,1.5,1,1,6
4855,UPLBMNH,122.544444,12.454722,Philippines,Romblon,Sibuyan, Municipality of Magdiwang,"Barangay Tampayan, Mt. Guiting-guiting National Park",Bronchocela marmorata,f,89.26,302,2.3,6.63,11.58,10.69,23.12,17.45,46.1,31.31,75.6,48,35,8,1,10,10,30,36,13,1,1,0.5,0.5,6
4865,UPLBMNH,122.550278,12.481389,Philippines,Romblon,Sibuyan, Municipality of Magdiwang,"Barangay Jao-asan, Mt. Guiting-guiting National Park",Bronchocela marmorata,f,89.5,315,2.63,7.72,12.57,10.74,23.71,17.5,47.03,32.32,78.29,49,37,5,1,10,11,25,31,9,2,2,1,1,6
4856,UPLBMNH,122.550278,12.481389,Philippines,Romblon,Sibuyan, Municipality of Magdiwang,"Barangay Tampayan, Mt. Guiting-guiting National Park",Bronchocela marmorata,f,90.22,301,2.55,7.32,13.33,11.73,25.1,17.88,49.25,32.03,75.96,55,37,7,1,10,10,29,35,12,2,2,0.5,1,7
4857,UPLBMNH,122.550278,12.481389,Philippines,Romblon,Sibuyan, Municipality of Magdiwang,"Barangay Tampayan, Mt. Guiting-guiting National Park",Bronchocela marmorata,f,91.18,290,2.01,6.28,12.38,11.38,24.14,18.23,48.23,32.38,78.79,54,37,5,1,10,9,28,33,11,1.5,1.5,1,1,7
4863,UPLBMNH,122.550278,12.481389,Philippines,Romblon,Sibuyan, Municipality of Magdiwang,"Barangay Jao-asan, Mt. Guiting-guiting National Park",Bronchocela marmorata,f,93.39,339,2.82,7.18,11.88,10.47,24.42,20.29,51.5,35.65,83,63,34,5,1,9,10,27,33,12,1.5,1,2,1,6
4864,UPLBMNH,122.550278,12.481389,Philippines,Romblon,Sibuyan, Municipality of Magdiwang,"Barangay Jao-asan, Mt. Guiting-guiting National Park",Bronchocela marmorata,f,95.48,cut,2.61,7.99,13.3,11.54,26.03,15.92,46,32.93,81.33,58,41,8,1,9,11,29,34,12,3,3,1.5,1.5,6
315337,KU,122.026889,12.3725,Philippines,Romblon,Tabkas,Municipality of Odiongan,"Barangay Hinagoman, Durubiutana",Bronchocela cristatella,f,96.94,313,3.49,8.46,13.19,10.94,25.24,18.27,48.15,30.76,75.53,47,34,6,1,11,11,30,33,11,2,1.5,1,1,7
4860,UPLBMNH,122.544444,12.454722,Philippines,Romblon,Sibuyan, Municipality of Magdiwang,"Barangay Tampayan, Mt. Guiting-guiting National Park",Bronchocela marmorata,f,97.16,316,2.78,7.6,13.17,11.91,26.36,18.29,50.32,32.32,80.79,53,35,5,1,9,10,26,33,11,1.5,1.5,1,1,7
